network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude
1.0.230.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.231.0/24,6941772,1605651,,0,0,,7.8961,98.2966
1.0.232.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.233.0/24,1151254,1605651,,0,0,,7.8333,98.3833
1.0.234.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.236.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.0.240.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.0.244.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.245.0/24,1151254,1605651,,0,0,,7.8333,98.3833
1.0.246.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.248.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.0.252.0/24,1150296,1605651,,0,0,83110,8.0317,98.3341
1.0.253.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.254.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.1.0.0/24,1810821,1814991,,0,0,,26.0614,119.3061
1.1.1.0/24,2151718,2077456,,0,0,3095,-37.7000,145.1833
1.1.2.0/23,1810821,1814991,,0,0,,26.0614,119.3061
1.1.4.0/22,1810821,1814991,,0,0,,26.0614,119.3061
1.1.8.0/21,1809858,1814991,,0,0,,23.1167,113.2500
1.1.16.0/20,1809858,1814991,,0,0,,23.1167,113.2500
1.1.32.0/19,1809858,1814991,,0,0,,23.1167,113.2500
1.1.64.0/18,1850147,1861060,,0,0,100-0001,35.6850,139.7514
1.1.128.0/20,1605651,1605651,,0,0,,13.7500,100.4667
1.1.144.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.1.148.0/25,1604769,1605651,,0,0,35000,15.7953,104.1494
1.1.148.128/25,1606790,1605651,,0,0,,17.1612,104.1473
1.1.149.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.1.150.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.1.152.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.1.153.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.1.154.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.1.156.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.1.160.0/20,1605651,1605651,,0,0,,13.7500,100.4667
1.1.176.0/25,1609350,1605651,,0,0,10200,13.7540,100.5014
1.1.176.128/26,1609350,1605651,,0,0,10200,13.7540,100.5014
1.1.176.192/26,1620917,1605651,,0,0,11110,13.9167,100.4333
1.1.177.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.1.178.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.1.179.0/24,1609350,1605651,,0,0,10800,13.8000,100.5333
1.1.180.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.1.184.0/21,1605651,1605651,,0,0,,13.7500,100.4667
1.1.192.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.1.194.0/24,1610469,1605651,,0,0,46000,16.4333,103.5000
1.1.195.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.1.196.0/24,1610469,1605651,,0,0,46000,16.4333,103.5000
1.1.197.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.1.198.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.1.200.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.1.202.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.1.203.0/24,1610468,1605651,,0,0,46180,16.9167,103.6333
1.1.204.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.1.208.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.1.210.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.1.211.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.1.212.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.1.216.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.1.220.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.1.222.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.1.223.0/24,1611110,1605651,,0,0,,13.3622,100.9835
1.1.224.0/21,1605651,1605651,,0,0,,13.7500,100.4667
1.1.232.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.1.236.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.1.237.0/24,1609071,1605651,,0,0,42000,17.4833,101.7167
1.1.238.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.1.240.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.1.244.0/24,1609071,1605651,,0,0,42000,17.4833,101.7167
1.1.245.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.1.246.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.1.248.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.1.252.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.1.254.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.1.255.0/24,1605239,1605651,,0,0,,17.4157,102.7859
1.2.0.0/23,1810821,1814991,,0,0,,26.0614,119.3061
1.2.2.0/24,1816670,1814991,,0,0,,39.9289,116.3883
1.2.3.0/24,5804306,2077456,,0,0,98275,47.9130,-122.3042
1.2.4.0/24,1814991,1814991,,0,0,,35.0000,105.0000
1.2.5.0/24,1810821,1814991,,0,0,,26.0614,119.3061
1.2.6.0/23,1810821,1814991,,0,0,,26.0614,119.3061
1.2.8.0/24,1816670,1814991,,0,0,,39.9289,116.3883
1.2.9.0/24,1809858,1814991,,0,0,,23.1167,113.2500
1.2.10.0/23,1809858,1814991,,0,0,,23.1167,113.2500
1.2.12.0/22,1809858,1814991,,0,0,,23.1167,113.2500
1.2.16.0/20,1809858,1814991,,0,0,,23.1167,113.2500
1.2.32.0/19,1809858,1814991,,0,0,,23.1167,113.2500
1.2.64.0/18,1809858,1814991,,0,0,,23.1167,113.2500
1.2.128.0/24,1609776,1605651,,0,0,40000,16.2931,102.6157
1.2.129.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.130.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.132.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.134.0/24,1607418,1605651,,0,0,40150,16.6500,102.3833
1.2.135.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.136.0/23,1609776,1605651,,0,0,40000,16.2931,102.6157
1.2.138.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.140.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.142.0/24,1609776,1605651,,0,0,,16.4467,102.8330
1.2.143.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.144.0/24,1609776,1605651,,0,0,,16.4467,102.8330
1.2.145.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.146.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.148.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.150.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.151.0/24,1609776,1605651,,0,0,40000,16.2931,102.6157
1.2.152.0/21,1605651,1605651,,0,0,,13.7500,100.4667
1.2.160.0/21,1605651,1605651,,0,0,,13.7500,100.4667
1.2.168.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.2.172.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.174.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.175.0/24,1607017,1605651,,0,0,21000,12.6667,101.2833
1.2.176.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.2.180.0/24,1609350,1605651,,0,0,10250,13.8583,100.4688
1.2.181.0/24,1605651,1605651,,0,0,,13.7500,100.4667
